,sentence,values
2420,"this is a very funny , heartwarming film .",0.91667
2421,"it has fun with the quirks of family life , but it also treats the subject with fondness and respect .",0.81944
2422,"rarely , indeed almost never , is such high-wattage brainpower coupled with pitch-perfect acting and an exquisite , unfakable sense of cinema .",0.88889
2423,the leanest and meanest of solondz 's misanthropic comedies .,0.69444
2424,"a dark , quirky road movie that constantly defies expectation .",0.875
2425,there are some movies that hit you from the first scene and you know it 's going to be a trip .,0.73611
2426,igby goes down is one of those movies .,0.51389
2427,"often messy and frustrating , but very pleasing at its best moments , it 's very much like life itself .",0.77778
2428,"a burst of color , music , and dance that only the most practiced curmudgeon could fail to crack a smile at .",0.94444
2429,"an energetic , violent movie with a momentum that never lets up .",0.79167
2430,"lasker 's canny , meditative script distances sex and love , as byron and luther ... realize they ca n't get no satisfaction without the latter .",0.625
2431,it turns out to be smarter and more diabolical than you could have guessed at the beginning .,0.80556
2432,cage makes an unusual but pleasantly haunting debut behind the camera .,0.65278
2433,noyce has worked wonders with the material .,0.80556
2434,it 's mostly a pleasure to watch .,0.63889
2435,"and the reason for that is a self-aware , often self-mocking , intelligence .",0.66667
2436,the chateau is a risky venture that never quite goes where you expect and often surprises you with unexpected comedy .,0.77778
2437,"a very well-meaning movie , and it will stand in future years as an eloquent memorial to the world trade center tragedy .",0.72222
2438,"there are n't many conclusive answers in the film , but there is an interesting story of pointed personalities , courage , tragedy and the little guys vs. the big guys .",0.72222
2439,"vividly demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop .",0.8333299999999999
2440,a four star performance from kevin kline who unfortunately works with a two star script .,0.72222
2441,dogtown & z-boys evokes the blithe rebel fantasy with the kind of insouciance embedded in the sexy demise of james dean .,0.72222
2442,"if you do n't flee , you might be seduced .",0.56944
2443,"if you do n't laugh , flee .",0.58333
2444,"payne constructs a hilarious ode to middle america and middle age with this unlikely odyssey , featuring a pathetic , endearing hero who is all too human .",0.72222
2445,"koury frighteningly and honestly exposes one teenager 's uncomfortable class resentment and , in turn , his self-inflicted retaliation .",0.66667
2446,the santa clause  proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .,0.70833
2447,"now as a former gong show addict , i 'll admit it , my only complaint is that we did n't get more re-creations of all those famous moments from the show .",0.63889
2448,succeeds where its recent predecessor miserably fails because it demands that you suffer the dreadfulness of war from both sides .,0.76389
2449,the first bond movie in ages that is n't fake fun .,0.75
2450,"this odd , poetic road movie , spiked by jolts of pop music , pretty much takes place in morton 's ever-watchful gaze -- and it 's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one .",0.81944
2451,"a film centering on a traditional indian wedding in contemporary new delhi may not sound like specialized fare , but mira nair 's film is an absolute delight for all audiences .",0.8333299999999999
2452,a weird and wonderful comedy .,0.86111
2453,"the movie should jolt you out of your seat a couple of times , give you a few laughs , and leave you feeling like it was worth your seven bucks , even though it does turn out to be a bit of a cheat in the end .",0.66667
2454,has the capability of effecting change and inspiring hope .,0.76389
2455,"a first-class , thoroughly involving b movie that effectively combines two surefire , beloved genres -- the prison flick and the fight film .",0.875
2456,labute 's careful handling makes the material seem genuine rather than pandering .,0.86111
2457,"in between all the emotional seesawing , it 's hard to figure the depth of these two literary figures , and even the times in which they lived .",0.31944
2458,but they fascinate in their recklessness .,0.61111
2459,"death to smoochy is often very funny , but what 's even more remarkable is the integrity of devito 's misanthropic vision .",0.75
2460,"a beautiful , entertaining two hours .",0.91667
2461,"you get the idea , though , that kapur intended the film to be more than that .",0.4305600000000001
2462,"a wonderful , ghastly film .",0.75
2463,"amid the new populist comedies that underscore the importance of family tradition and familial community , one would be hard-pressed to find a movie with a bigger , fatter heart than barbershop .",0.81944
2464,parris ' performance is credible and remarkably mature .,0.72222
2465,` enigma ' is the kind of engaging historical drama that hollywood appears to have given up on in favor of sentimental war movies in the vein of ` we were soldiers . ',0.55556
2466,munch 's screenplay is tenderly observant of his characters .,0.76389
2467,he watches them as they float within the seas of their personalities .,0.625
2468,his scenes are short and often unexpected .,0.55556
2469,it grabs you in the dark and shakes you vigorously for its duration .,0.68056
2470,"leigh 's daring here is that without once denying the hardscrabble lives of people on the economic fringes of margaret thatcher 's ruinous legacy , he insists on the importance of those moments when people can connect and express their love for each other .",0.59722
2471,"hashiguchi vividly captures the way young japanese live now , chafing against their culture 's manic mix of millennial brusqueness and undying , traditional politesse .",0.77778
2472,uneven but a lot of fun .,0.68056
2473,i know that i 'll never listen to marvin gaye or the supremes the same way again,0.61111
2474,"the two leads , nearly perfect in their roles , bring a heart and reality that buoy the film , and at times , elevate it to a superior crime movie .",0.8333299999999999
2475,"not as good as the full monty , but a really strong second effort .",0.68056
2476,"whenever it threatens to get bogged down in earnest dramaturgy , a stirring visual sequence like a surge through swirling rapids or a leap from pinnacle to pinnacle rouses us .",0.69444
2477,"if horses could fly , this is surely what they 'd look like .",0.56944
2478,"unfolds as one of the most politically audacious films of recent decades from any country , but especially from france .",0.72222
2479,this real-life hollywood fairy-tale is more engaging than the usual fantasies hollywood produces .,0.77778
2480,"the graphic carnage and re-creation of war-torn croatia is uncomfortably timely , relevant , and sickeningly real .",0.66667
2481,"left me with the visceral sensation of longing , lasting traces of charlotte 's web of desire and desperation .",0.76389
2482,the characters are more deeply thought through than in most ` right-thinking ' films .,0.72222
2483,"crammed with incident , and bristles with passion and energy .",0.79167
2484,"it 's fun , splashy and entertainingly nasty .",0.72222
2485,"a simple tale of an unlikely friendship , but thanks to the gorgeous locales and exceptional lead performances , it has considerable charm .",0.8472200000000001
2486,"it might be ` easier ' to watch on video at home , but that should n't stop die-hard french film connoisseurs from going out and enjoying the big-screen experience .",0.73611
2487,"there 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash .",0.52778
2488,"witty , contemplative , and sublimely beautiful .",0.8333299999999999
2489,a surprisingly ` solid ' achievement by director malcolm d. lee and writer john ridley .,0.75
2490,"woven together handsomely , recalling sixties ' rockumentary milestones from lonely boy to do n't look back .",0.77778
2491,"this is pure , exciting moviemaking .",0.91667
2492,you wo n't exactly know what 's happening but you 'll be blissfully exhausted .,0.58333
2493,the 1960s rebellion was misdirected : you ca n't fight your culture .,0.5
2494,works because reno does n't become smug or sanctimonious towards the audience .,0.80556
2495,nettelbeck ... has a pleasing way with a metaphor .,0.75
2496,a pure participatory event that malnourished intellectuals will gulp down in a frenzy .,0.59722
2497,the cast delivers without sham the raw-nerved story .,0.72222
2498,"steven soderbergh 's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life .",0.75
2499,"the film 's highlight is definitely its screenplay , both for the rhapsodic dialogue that jumps off the page , and for the memorable character creations .",0.76389
2500,"it lets you brush up against the humanity of a psycho , without making him any less psycho .",0.63889
2501,"sillier , cuter , and shorter than the first ( as best i remember ) , but still a very good time at the cinema .",0.875
2502,the film is bright and flashy in all the right ways .,0.875
2503,"elegant and eloquent ( meditation ) on death and that most elusive of passions , love .",0.86111
2504,cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most .,0.61111
2505,filmmaker tian zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power .,0.91667
2506,"it excels because , unlike so many other hollywood movies of its ilk , it offers hope .",0.70833
2507,"shot in rich , shadowy black-and-white , devils chronicles , with increasingly amused irony , the relationship between reluctant captors and befuddled captives .",0.8472200000000001
2508,there 's no clear picture of who killed bob crane .,0.5
2509,but here 's a glimpse at his life .,0.55556
2510,"spectacularly beautiful , not to mention mysterious , sensual , emotionally intense , and replete with virtuoso throat-singing .",0.90278
2511,"a summer entertainment adults can see without feeling embarrassed , but it could have been more .",0.75
2512,sparse but oddly compelling .,0.66667
2513,"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",0.88889
2514,"the pinochet case is a searing album of remembrance from those who , having survived , suffered most .",0.55556
2515,a sweet-tempered comedy that forgoes the knee-jerk misogyny that passes for humor in so many teenage comedies .,0.72222
2516,"argento , at only  , brings a youthful , out-to-change-the-world aggressiveness to the project , as if she 's cut open a vein and bled the raw film stock .",0.72222
2517,"with so many bad romances out there , this is the kind of movie that deserves a chance to shine .",0.79167
2518,"brash , intelligent and erotically perplexing , haneke 's portrait of an upper class austrian society and the suppression of its tucked away demons is uniquely felt with a sardonic jolt .",0.8333299999999999
2519,"though jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees .",0.65278
2520,`` the quiet american '' begins in saigon in  .,0.5
2521,that 's its first sign of trouble .,0.33333
2522,a dazzling thing to behold -- as long as you 're wearing the somewhat cumbersome 3d goggles the theater provides .,0.77778
2523,be patient with the lovely hush !,0.63889
2524,"and your reward will be a thoughtful , emotional movie experience .",0.875
2525,the large-format film is well suited to capture these musicians in full regalia and the incredible imax sound system lets you feel the beat down to your toes .,0.91667
2526,"godard has never made a more sheerly beautiful film than this unexpectedly moving meditation on love , history , memory , resistance and artistic transcendence .",0.94444
2527,"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",0.88889
2528,"unlike most surf movies , blue crush thrillingly uses modern technology to take the viewer inside the wave .",0.79167
2529,by the end you ca n't help but feel ` stoked . ',0.75
2530,"the off-center humor is a constant , and the ensemble gives it a buoyant delivery .",0.72222
2531,a tasty slice of droll whimsy .,0.48611
2532,mike leigh populates his movie with a wonderful ensemble cast of characters that bring the routine day to day struggles of the working class to life,0.86111
2533,"awesome work : ineffable , elusive , yet inexplicably powerful",0.8472200000000001
2534,"sparkling , often hilarious romantic jealousy comedy ... attal looks so much like a young robert deniro that it seems the film should instead be called ` my husband is travis bickle ' .",0.875
2535,"even if you 're an agnostic carnivore , you can enjoy much of jonah simply , and gratefully , as laugh-out-loud lunacy with a pronounced monty pythonesque flavor .",0.66667
2536,where bowling for columbine is at its most valuable is in its examination of america 's culture of fear as a root cause of gun violence .,0.51389
2537,"the result is somewhat satisfying -- it still comes from spielberg , who has never made anything that was n't at least watchable .",0.72222
2538,but it 's also disappointing to a certain degree .,0.33333
2539,the all-french cast is marveilleux .,0.94444
2540,there 's a lot to recommend read my lips .,0.72222
2541,a minor film with major pleasures from portuguese master manoel de oliviera ...,0.8333299999999999
2542,brosnan gives a portrayal as solid and as perfect as his outstanding performance as bond in die another day .,0.80556
2543,"audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching , but otherwise the production is suitably elegant .",0.76389
2544,the movie is ... very funny as you peek at it through the fingers in front of your eyes .,0.76389
2545,"nicks sustains the level of exaggerated , stylized humor throughout by taking your expectations and twisting them just a bit .",0.68056
2546,a refreshing change from the usual whoopee-cushion effort aimed at the youth market .,0.8333299999999999
2547,it finds its moviegoing pleasures in the tiny events that could make a person who has lived her life half-asleep suddenly wake up and take notice .,0.68056
2548,... an enjoyably frothy ` date movie ' ...,0.8333299999999999
2549,"the genius of the work speaks volumes , offering up a hallucinatory dreamscape that frustrates and captivates .",0.86111
2550,two weeks notice has appeal beyond being a sandra bullock vehicle or a standard romantic comedy .,0.75
2551,the movie 's seams may show ... but pellington gives `` mothman '' an irresistibly uncanny ambience that goes a long way toward keeping the picture compelling .,0.69444
2552,"if mostly martha is mostly unsurprising , it 's still a sweet , even delectable diversion .",0.63889
2553,a wild comedy that could only spring from the demented mind of the writer of being john malkovich .,0.73611
2554,schnitzler does a fine job contrasting the sleekness of the film 's present with the playful paranoia of the film 's past . ',0.8333299999999999
2555,"a fresh-faced , big-hearted and frequently funny thrill ride for the kiddies , with enough eye candy and cheeky wit to keep parents away from the concession stand . '",0.86111
2556,"mana gives us compelling , damaged characters who we want to help -- or hurt .",0.5
2557,"the sentimental script has problems , but the actors pick up the slack .",0.63889
2558,a good documentary can make interesting a subject you thought would leave you cold .,0.69444
2559,a case in point : doug pray 's scratch .,0.5
2560,abderrahmane sissako 's heremakono ( waiting for happiness ) is an elegiac portrait of a transit city on the west african coast struggling against foreign influences .,0.5
2561,"in xx , diesel is that rare creature -- an action hero with table manners , and one who proves that elegance is more than tattoo deep .",0.81944
2562,an engrossing and grim portrait of hookers : what they think of themselves and their clients .,0.80556
2563,"it all plays out ... like a high-end john hughes comedy , a kind of elder bueller 's time out .",0.73611
2564,"the film is enriched by an imaginatively mixed cast of antic spirits , headed by christopher plummer as the subtlest and most complexly evil uncle ralph i 've ever seen in the many film and stage adaptations of the work .",0.81944
2565,this is one of the rarest kinds of films : a family-oriented non-disney film that is actually funny without hitting below the belt .,0.73611
2566,it is refreshingly undogmatic about its characters .,0.81944
2567,a moving and important film .,0.88889
2568,"deep intelligence and a warm , enveloping affection breathe out of every frame .",0.90278
2569,"famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the clichã©-riddled genre can offer .",0.68056
2570,showtime is a fine-looking film with a bouncy score and a clutch of lively songs for deft punctuation .,0.81944
2571,"sweet home alabama is n't going to win any academy awards , but this date-night diversion will definitely win some hearts .",0.68056
2572,a cruelly funny twist on teen comedy packed with inventive cinematic tricks and an ironically killer soundtrack,0.77778
2573,"a gracious , eloquent film that by its end offers a ray of hope to the refugees able to look ahead and resist living in a past forever lost .",0.80556
2574,"even though many of these guys are less than adorable ( their lamentations are pretty much self-centered ) , there 's something vital about the movie .",0.72222
2575,a tour de force drama about the astonishingly pivotal role of imagination in the soulful development of two rowdy teenagers .,0.77778
2576,"it is a strength of a documentary to disregard available bias , especially as temptingly easy as it would have been with this premise .",0.66667
2577,"when twentysomething hotsies make movies about their lives , hard-driving narcissism is a given , but what a world we 'd live in if argento 's hollywood counterparts ... had this much imagination and nerve .",0.77778
2578,maryam is more timely now than ever .,0.65278
2579,"an eloquent , reflective and beautifully acted meditation on both the profoundly devastating events of one year ago and the slow , painful healing process that has followed in their wake .",0.91667
2580,piccoli gives a superb performance full of deep feeling .,0.81944
2581,"what a concept , what an idea , what a thrill ride .",0.8333299999999999
2582,this is a more fascinating look at the future than `` bladerunner '' and one of the most high-concept sci fi adventures attempted for the screen .,0.79167
2583,the rare movie that 's as crisp and to the point as the novel on which it 's based .,0.8472200000000001
2584,"a film of epic scale with an intimate feeling , a saga of the ups and downs of friendships .",0.76389
2585,sayles has an eye for the ways people of different ethnicities talk to and about others outside the group .,0.79167
2586,`` nicholas nickleby '' is a perfect family film to take everyone to since there 's no new `` a christmas carol '' out in the theaters this year .,0.76389
2587,"charlie hunnam has the twinkling eyes , repressed smile and determined face needed to carry out a dickensian hero .",0.8333299999999999
2588,"niccol the filmmaker merges his collaborators ' symbolic images with his words , insinuating , for example , that in hollywood , only god speaks to the press",0.68056
2589,"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum .",0.72222
2590,"impresses as a skillfully assembled , highly polished and professional adaptation ... just about as chilling and unsettling as ` manhunter ' was .",0.875
2591,it 's a solid movie about people whose lives are anything but .,0.66667
2592,"though a touch too arthouse  in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors .",0.61111
2593,i simply ca n't recommend it enough .,0.77778
2594,wiseman reveals the victims of domestic abuse in all of their pity and terror .,0.52778
2595,"muccino , who directed from his own screenplay , is a canny crowd pleaser , and the last kiss ... provides more than enough sentimental catharsis for a satisfying evening at the multiplex .",0.81944
2596,we want the funk - and this movie 's got it .,0.79167
2597,"wow , so who knew charles dickens could be so light-hearted ?",0.69444
2598,"many went to see the attraction for the sole reason that it was hot outside and there was air conditioning inside , and i do n't think that a.c. will help this movie one bit .",0.11111
2599,"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome .",1.0
2600,"a miraculous movie , i 'm going home is so slight , yet overflows with wisdom and emotion .",0.94444
2601,"baran is shockingly devoid of your typical majid majidi shoe-loving , crippled children .",0.27778
2602,"every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat .",0.88889
2603,"a fine , rousing , g-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats .",0.8333299999999999
2604,"the series ' message about making the right choice in the face of tempting alternatives remains prominent , as do the girls ' amusing personalities .",0.76389
2605,richly entertaining and suggestive of any number of metaphorical readings .,0.88889
2606,a compelling allegory about the last days of germany 's democratic weimar republic .,0.75
2607,offers a guilt-free trip into feel-good territory .,0.8333299999999999
2608,"a b-movie you can sit through , enjoy on a certain level and then forget .",0.77778
2609,devos delivers a perfect performance that captures the innocence and budding demons within a wallflower .,0.73611
2610,"disappointingly , the characters are too strange and dysfunctional , tom included , to ever get under the skin , but this is compensated in large part by the off-the-wall dialogue , visual playfulness and the outlandishness of the idea itself .",0.51389
2611,"director todd solondz has made a movie about critical reaction to his two previous movies , and about his responsibility to the characters that he creates .",0.66667
2612,"the word that comes to mind , while watching eric rohmer 's tribute to a courageous scottish lady , is painterly .",0.72222
2613,a fascinating case study of flower-power liberation -- and the price that was paid for it .,0.875
2614,"bluer than the atlantic and more biologically detailed than an autopsy , the movie ... is , also , frequently hilarious .",0.80556
2615,"really is a pan-american movie , with moments of genuine insight into the urban heart .",0.65278
2616,"an overly familiar scenario is made fresh by an intelligent screenplay and gripping performances in this low-budget , video-shot , debut indie effort .",0.77778
2617,"peppering this urban study with references to norwegian folktales , villeneuve creates in maelstrom a world where the bizarre is credible and the real turns magical .",0.69444
2618,ong 's promising debut is a warm and well-told tale of one recent chinese immigrant 's experiences in new york city .,0.81944
2619,that the real antwone fisher was able to overcome his personal obstacles and become a good man is a wonderful thing ; that he has been able to share his story so compellingly with us is a minor miracle .,0.90278
2620,"there 's not much to fatale , outside of its stylish surprises ... but that 's ok .",0.41667
2621,"what redeems the film is the cast , particularly the ya-yas themselves .",0.66667
2622,"beautiful , cold , oddly colorful and just plain otherworldly , a freaky bit of art that 's there to scare while we delight in the images .",0.70833
2623,"it 's up to ( watts ) to lend credibility to this strange scenario , and her presence succeeds in making us believe .",0.72222
2624,"the film is darkly atmospheric , with herrmann quietly suggesting the sadness and obsession beneath hearst 's forced avuncular chortles .",0.4305600000000001
2625,"shyamalan takes a potentially trite and overused concept ( aliens come to earth ) and infuses it into a rustic , realistic , and altogether creepy tale of hidden invasion .",0.75
2626,"... the story , like ravel 's bolero , builds to a crescendo that encompasses many more paths than we started with .",0.75
2627,"it 's plotless , shapeless -- and yet , it must be admitted , not entirely humorless .",0.38889
2628,"indeed , the more outrageous bits achieve a shock-you-into-laughter intensity of almost dadaist proportions .",0.61111
2629,gondry 's direction is adequate ... but what gives human nature its unique feel is kaufman 's script .,0.72222
2630,"the film 's plot may be shallow , but you 've never seen the deep like you see it in these harrowing surf shots .",0.61111
2631,"with a large cast representing a broad cross-section , tavernier 's film bounds along with the rat-a-tat energy of `` his girl friday , '' maintaining a light touch while tackling serious themes .",0.77778
2632,the observations of this social\/economic\/urban environment are canny and spiced with irony .,0.75
2633,renner carries much of the film with a creepy and dead-on performance .,0.80556
2634,jarecki and gibney do find enough material to bring kissinger 's record into question and explain how the diplomat 's tweaked version of statecraft may have cost thousands and possibly millions of lives .,0.55556
2635,"the spaniel-eyed jean reno infuses hubert with a mixture of deadpan cool , wry humor and just the measure of tenderness required to give this comic slugfest some heart .",0.69444
2636,aniston has at last decisively broken with her friends image in an independent film of satiric fire and emotional turmoil .,0.70833
2637,a mildly enjoyable if toothless adaptation of a much better book .,0.54167
2638,"unexpected , and often contradictory , truths emerge .",0.61111
2639," years of russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness .",0.8472200000000001
2640,"intelligent , caustic take on a great writer and dubious human being .",0.77778
2641,"may take its sweet time to get wherever it 's going , but if you have the patience for it , you wo n't feel like it 's wasted yours .",0.65278
2642,less the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling ( though no less horrifying for it ) .,0.63889
2643,the film is one of the year 's best .,0.88889
2644,eerily accurate depiction of depression .,0.38889
2645,... a delicious crime drama on par with the slickest of mamet .,0.93056
2646,"charming and witty , it 's also somewhat clumsy .",0.73611
2647,"directed with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft .",0.86111
2648,"escapes the precious trappings of most romantic comedies , infusing into the story very real , complicated emotions .",0.72222
2649,"this big screen caper has a good bark , far from being a bow-wow .",0.58333
2650,( allen ) manages to breathe life into this somewhat tired premise .,0.65278
2651,i have two words to say about reign of fire .,0.5
2652,great dragons !,0.61111
2653,"by surrounding us with hyper-artificiality , haynes makes us see familiar issues , like racism and homophobia , in a fresh way .",0.79167
2654,"a deliberative account of a lifestyle characterized by its surface-obsession -- one that typifies the delirium of post , pre , and extant stardom .",0.625
2655,superb production values & christian bale 's charisma make up for a derivative plot .,0.77778
2656,the film has the courage of its convictions and excellent performances on its side .,0.86111
2657,"i know i should n't have laughed , but hey , those farts got to my inner nine-year-old .",0.72222
2658,"a movie that will thrill you , touch you and make you laugh as well .",0.68056
2659,"it 's a smart , funny look at an arcane area of popular culture , and if it is n't entirely persuasive , it does give exposure to some talented performers .",0.79167
2660,"more vaudeville show than well-constructed narrative , but on those terms it 's inoffensive and actually rather sweet .",0.55556
2661,"the case is a convincing one , and should give anyone with a conscience reason to pause .",0.81944
2662,the actresses find their own rhythm and protect each other from the script 's bad ideas and awkwardness .,0.63889
2663,diverting french comedy in which a husband has to cope with the pesky moods of jealousy .,0.54167
2664,captivates and shows how a skillful filmmaker can impart a message without bludgeoning the audience over the head .,0.875
2665,"there is a welcome lack of pretension about the film , which very simply sets out to entertain and ends up delivering in good measure .",0.80556
2666,"coy but exhilarating , with really solid performances by ving rhames and wesley snipes .",0.63889
2667,"it is a likable story , told with competence .",0.72222
2668,"not only does spider-man deliver , but i suspect it might deliver again and again .",0.81944
2669,tackles the difficult subject of grief and loss with such life-embracing spirit that the theme does n't drag an audience down .,0.77778
2670,a small movie with a big impact .,0.88889
2671,"the movie , despite its rough edges and a tendency to sag in certain places , is wry and engrossing .",0.68056
2672,"i admire the closing scenes of the film , which seem to ask whether our civilization offers a cure for vincent 's complaint .",0.73611
2673,"like rudy yellow lodge , eyre needs to take a good sweat to clarify his cinematic vision before his next creation and remember the lessons of the trickster spider .",0.16667
2674,a delightful romantic comedy with plenty of bite .,0.76389
2675,"it 's far from a frothy piece , and the characters are complex , laden with plenty of baggage and tinged with tragic undertones .",0.73611
2676,"using an endearing cast , writer\/director dover kosashvili takes a slightly dark look at relationships , both sexual and kindred .",0.76389
2677,"when a movie has stuck around for this long , you know there 's something there .",0.8333299999999999
2678,it 's that good .,0.86111
2679,"smart , sassy interpretation of the oscar wilde play .",0.8333299999999999
2680,forget about one oscar nomination for julianne moore this year - she should get all five .,0.95833
2681,japanese director shohei imamura 's latest film is an odd but ultimately satisfying blend of the sophomoric and the sublime .,0.77778
2682,"kwan is a master of shadow , quietude , and room noise , and lan yu is a disarmingly lived-in movie .",0.66667
2683,while the plot follows a predictable connect-the-dots course ... director john schultz colors the picture in some evocative shades .,0.63889
2684,"katz 's documentary does n't have much panache , but with material this rich it does n't need it .",0.65278
2685,"we get an image of big papa spanning history , rather than suspending it .",0.51389
2686,"evelyn 's strong cast and surehanded direction make for a winning , heartwarming yarn .",0.77778
2687,a conventional but heartwarming tale .,0.80556
2688,this is one of the outstanding thrillers of recent years .,0.8472200000000001
2689,"skins has a desolate air , but eyre , a native american raised by white parents , manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor .",0.75
2690,a film of quiet power .,0.72222
2691,"more concerned with overall feelings , broader ideas , and open-ended questions than concrete story and definitive answers , soderbergh 's solaris is a gorgeous and deceptively minimalist cinematic tone poem .",0.88889
2692,an intelligent romantic thriller of a very old-school kind of quality .,0.76389
2693,the sword fighting is well done and auteuil is a goofy pleasure .,0.75
2694,"yes , mibii is rote work and predictable , but with a philosophical visual coming right at the end that extravagantly redeems it .",0.63889
2695,"film ca n't quite maintain its initial momentum , but remains sporadically funny throughout .",0.59722
2696,"o fantasma is boldly , confidently orchestrated , aesthetically and sexually , and its impact is deeply and rightly disturbing .",0.63889
2697,"it 's still adam sandler , and it 's not little nicky .",0.45833
2698,"and for many of us , that 's good enough .",0.76389
2699,here 's yet another cool crime movie that actually manages to bring something new into the mix .,0.76389
2700,"lee 's achievement extends to his supple understanding of the role that brown played in american culture as an athlete , a movie star , and an image of black indomitability .",0.625
2701,kaufman and jonze take huge risks to ponder the whole notion of passion -- our desire as human beings for passion in our lives and the emptiness one feels when it is missing .,0.56944
2702,"it tends to remind one of a really solid woody allen film , with its excellent use of new york locales and sharp writing",0.94444
2703,"while centered on the life experiences of a particular theatrical family , this marvelous documentary touches -- ever so gracefully -- on the entire history of the yiddish theater , both in america and israel .",0.8472200000000001
2704,"the film , despite the gratuitous cinematic distractions impressed upon it , is still good fun .",0.66667
2705,the immersive powers of the giant screen and its hyper-realistic images are put to perfect use in the breathtakingly beautiful outer-space documentary space station 3d .,0.8333299999999999
2706,"has an unmistakable , easy joie de vivre .",0.75
2707,"more than anything else , kissing jessica stein injects freshness and spirit into the romantic comedy genre , which has been held hostage by generic scripts that seek to remake sleepless in seattle again and again .",0.88889
2708,this movie has the usual impossible stunts ... but it has just as many scenes that are lean and tough enough to fit in any modern action movie .,0.79167
2709,"mostly works because of the universal themes , earnest performances ... and excellent use of music by india 's popular gulzar and jagjit singh .",0.8333299999999999
2710,"... the one thing this wild film has that other imax films do n't : chimps , lots of chimps , all blown up to the size of a house .",0.54167
2711,that 's fun for kids of any age .,0.8333299999999999
2712,"writer\/director david caesar ladles on the local flavour with a hugely enjoyable film about changing times , clashing cultures and the pleasures of a well-made pizza .",0.86111
2713,rarely have i seen a film so willing to champion the fallibility of the human heart .,0.8333299999999999
2714,"holofcener rejects patent solutions to dramatize life 's messiness from inside out , in all its strange quirks .",0.8472200000000001
2715,"like the full monty , this is sure to raise audience 's spirits and leave them singing long after the credits roll .",0.8333299999999999
2716,"... a gleefully grungy , hilariously wicked black comedy ...",0.86111
2717,kinnear and dafoe give what may be the performances of their careers .,0.95833
2718,"all in all , a great party .",0.73611
2719,a moving story of determination and the human spirit .,0.80556
2720,`` brown sugar '' admirably aspires to be more than another `` best man '' clone by weaving a theme throughout this funny film .,0.77778
2721,"( gulpilil ) is a commanding screen presence , and his character 's abundant humanism makes him the film 's moral compass .",0.69444
2722,an effortlessly accomplished and richly resonant work .,0.88889
2723,"in some ways , lagaan is quintessential bollywood .",0.51389
2724,"except it 's much , much better .",0.81944
2725,"though it never rises to its full potential as a film , still offers a great deal of insight into the female condition and the timeless danger of emotions repressed .",0.55556
2726,"scotland looks wonderful , the fans are often funny fanatics , the showdown sure beats a bad day of golf .",0.79167
2727,"what enlivens this film , beyond the astute direction of cardoso and beautifully detailed performances by all of the actors , is a note of defiance over social dictates .",0.76389
2728,"the emotion is impressively true for being so hot-blooded , and both leads are up to the task .",0.875
2729,"although it lacks the detail of the book , the film does pack some serious suspense .",0.75
2730,i 'd watch these two together again in a new york minute .,0.8333299999999999
2731,"there 's nothing like love to give a movie a b- shot , and cq shimmers with it .",0.81944
2732,"a moving essay about the specter of death , especially suicide .",0.75
2733,"this film is so different from the apple and so striking that it can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success .",0.77778
2734,like a less dizzily gorgeous companion to mr. wong 's in the mood for love -- very much a hong kong movie despite its mainland setting .,0.59722
2735,"... a somber film , almost completely unrelieved by any comedy beyond the wistful everyday ironies of the working poor .",0.47222
2736,coral reef adventure is a heavyweight film that fights a good fight on behalf of the world 's endangered reefs -- and it lets the pictures do the punching .,0.77778
2737,"the overall result is an intelligent , realistic portrayal of testing boundaries .",0.8333299999999999
2738,"poignant and moving , a walk to remember is an inspirational love story , capturing the innocence and idealism of that first encounter .",0.8472200000000001
2739,worth a salute just for trying to be more complex than your average film .,0.75
2740,handsome and sophisticated approach to the workplace romantic comedy .,0.73611
